Gene names,id,Majority protein IDs,Sequence length,Protein names,Reverse,Potential contaminant,Fasta headers,Razor + unique peptides,Unique + razor sequence coverage [%],Only identified by site,R2M_GFPA_C_A_01,R2M_GFPA_C_A_02,R2M_GFPA_C_A_03,R2M_GFPA_C_T_01,R2M_GFPA_C_T_02,R2M_GFPA_C_T_03,R2M_GFPA_F_A_01,R2M_GFPA_F_A_02,R2M_GFPA_F_A_03,R2M_GFPA_F_T_01,R2M_GFPA_F_T_02,R2M_GFPA_F_T_03,R2M_R11A_F_A_01,R2M_R11A_F_A_02,R2M_R11A_F_A_03,R2M_R11A_F_T_01,R2M_R11A_F_T_02,R2M_R11A_F_T_03,R2A_R11G_C_A_01,R2A_R11G_C_A_02,R2A_R11G_C_A_03,R2A_R11G_C_T_01,R2A_R11G_C_T_02,R2A_R11G_C_T_03,R2A_R11G_F_A_01,R2A_R11G_F_A_02,R2A_R11G_F_A_03,R2A_R11G_F_T_01,R2A_R11G_F_T_02,R2A_R11G_F_T_03,cl_name
CC2D1A,5533,Q6P1N0,951,Coiled-coil and C2 domain-containing protein 1A,,,"sp|Q6P1N0|C2D1A_HUMAN Coiled-coil and C2 domain-containing protein 1A OS=Homo sapiens (Human) OX=9606 GN=CC2D1A PE=1 SV=1;sp|Q6P1N0-2|C2D1A-2_HUMAN Isoform of Q6P1N0, Isoform 2 of Coiled-coil and C2 domain-containing protein 1A OS=Homo sapiens (Human) OX=9",29,39.3,,7.562067275900763,7.540260108488734,7.520304656353147,7.644802437935491,7.661408864904617,7.6934222915460895,7.488029796785455,7.411181819893942,7.4400368691480585,7.6774792225424555,7.617622119653242,7.669845340080489,7.485546568768041,7.404561549179316,7.369693547523582,7.725264109859515,7.743365310218661,7.688069589444665,7.668079911442828,7.628193635679739,7.581082677531393,7.6752796961964505,7.578030637945383,7.636513912463212,7.696155269494646,7.699087972072694,7.631657870607934,7.690775572174,7.631965288828343,7.669098361058975,FGFR2_F_unique
CC2D1B,5316,Q5T0F9-2,852,Coiled-coil and C2 domain-containing protein 1B,,,"sp|Q5T0F9-2|C2D1B-2_HUMAN Isoform of Q5T0F9, Isoform 2 of Coiled-coil and C2 domain-containing protein 1B OS=Homo sapiens (Human) OX=9606 GN=CC2D1B PE=1 SV=1;tr|H7C1U3|H7C1U3_HUMAN Isoform of Q5T0F9, Coiled-coil and C2 domain-containing protein 1B (Fragmen",12,21,,7.027202747244765,6.990883905937305,7.010178998404264,7.268284678051448,7.305612844000054,7.3704711119951,7.096343164830552,7.010551263425474,7.095261993111395,7.366860821910182,7.296295397992649,7.308537659248143,6.945121518118001,7.014315030595469,6.936912209016302,7.145491660406414,7.217367376466506,7.080147094389864,7.381098478222413,7.404710318728008,7.3255094480070895,7.450841854866867,7.36753619034783,7.474831045058378,7.227871739299777,7.353432819093321,7.316638610807897,7.462338064919721,7.371365564440609,7.4480536242700675,Receptor_profile
CCAR1,5966,Q8IX12-2,1135,Cell division cycle and apoptosis regulator protein 1,,,"sp|Q8IX12-2|CCAR1-2_HUMAN Isoform of Q8IX12, Isoform 2 of Cell division cycle and apoptosis regulator protein 1 OS=Homo sapiens (Human) OX=9606 GN=CCAR1 PE=1 SV=2;sp|Q8IX12|CCAR1_HUMAN Cell division cycle and apoptosis regulator protein 1 OS=Homo sapiens (",43,40.3,,8.874846095048595,8.866302026208315,8.854902332260847,8.427092419129979,8.45586066998608,8.445307957140791,8.980440183172513,8.98072936643421,8.904412576087537,8.399444598217334,8.432225414324254,8.428586790208275,8.88009444623197,8.851697691851445,8.795771260270982,8.215641663164584,8.184336715192018,8.15601387617677,8.698080740792129,8.718665030799494,8.667723127197908,8.317612044033114,8.314218846037429,8.26750156364222,8.600648561936904,8.724669089075425,8.68427813750119,8.237043519481189,8.211717706535834,8.256334959264558,RAB11_unique
CCBL2,5636,Q6YP21-3,420,Kynurenine--oxoglutarate transaminase 3,,,"sp|Q6YP21-3|KAT3-3_HUMAN Isoform of Q6YP21, Isoform 3 of Kynurenine--oxoglutarate transaminase 3 OS=Homo sapiens (Human) OX=9606 GN=KYAT3 PE=1 SV=1;sp|Q6YP21|KAT3_HUMAN Kynurenine--oxoglutarate transaminase 3 OS=Homo sapiens (Human) OX=9606 GN=KYAT3 PE=1 S",17,41,,8.214212925559872,8.247790899843624,8.238351360277827,7.808446766805082,7.868184105272027,7.818984991077642,8.001203212336373,8.2830958194005,8.30434023331081,7.791898402424045,7.719653919655224,7.796024962311083,8.293592338918144,8.3442287955291,8.273621921017694,7.833191976839032,7.82459450013328,7.958349843424316,7.9246304681548345,7.914701503901386,7.893465610196301,7.852014358824421,7.896706647205235,7.840925720053096,7.929144200813072,7.969524327100851,7.966603049819215,7.821432218931209,7.836293602013375,7.841657917541521,RAB11_unique
CCDC109B,7840,Q9NWR8,336,"Calcium uniporter regulatory subunit MCUb, mitochondrial",,,"sp|Q9NWR8|MCUB_HUMAN Calcium uniporter regulatory subunit MCUb, mitochondrial OS=Homo sapiens (Human) OX=9606 GN=MCUB PE=1 SV=2",4,10.4,,6.630766915734942,6.677784401257758,6.9211941197981695,6.238696999742258,4.99890325335083,6.144197224134661,6.428789808913666,6.581032445882887,6.632391426326319,6.086089410418303,6.325314481668748,6.055235482475225,6.320870400302563,6.440621894634776,6.4159717576611985,6.211649938227638,5.917158024064133,6.099133673378919,3.665365801083439,3.197982934467764,3.315396401341465,4.3997348227050725,5.794782515406913,6.088234789633756,3.375079362842428,4.839567917734797,6.151756760699761,5.4771149638597185,4.099728181351093,5.0612361481605666,RE_Profile
CCDC120,6756,Q96HB5,630,Coiled-coil domain-containing protein 120,,,"sp|Q96HB5|CC120_HUMAN Coiled-coil domain-containing protein 120 OS=Homo sapiens (Human) OX=9606 GN=CCDC120 PE=1 SV=1;sp|Q96HB5-3|CC120-3_HUMAN Isoform of Q96HB5, Isoform 3 of Coiled-coil domain-containing protein 120 OS=Homo sapiens (Human) OX=9606 GN=CCDC",9,15.4,,6.636195965802361,6.317969671655245,6.693859838136907,6.296663216288989,6.27189005431861,6.178320887453962,6.244342633963145,6.311824861142434,6.250257759015272,6.217975545625298,6.298969232040412,6.403760104911149,6.844208370162026,6.819665800766676,6.706940801547064,6.246349271435645,6.19240998706956,6.4591900003164,6.375098563342634,6.359408110496911,6.196690363406633,6.31024758316091,6.197148981574644,6.361487092361744,6.43508361481463,6.502966509067502,6.538926434890994,6.07230129229735,6.263547273085342,6.1885203726843425,RE_Profile
CCDC124,6654,Q96CT7,223,Coiled-coil domain-containing protein 124,,,"sp|Q96CT7|CC124_HUMAN Coiled-coil domain-containing protein 124 OS=Homo sapiens (Human) OX=9606 GN=CCDC124 PE=1 SV=1;tr|M0R2F5|M0R2F5_HUMAN Isoform of Q96CT7, Coiled-coil domain-containing protein 124 (Fragment) OS=Homo sapiens (Human) OX=9606 GN=CCDC124 P",16,56.5,,7.135232615872436,6.63348297631853,6.6739635547355025,8.121976610276924,8.243714043451332,8.27271401791141,6.762036484563748,6.6365463244468685,6.83967881256803,8.11769056239951,8.189431811907815,8.222029389063016,6.0873713555555105,6.6024911492441385,6.7477085072208425,8.114169321399304,8.290397049566007,8.128782762837803,7.7713938384742125,7.783173819398468,7.6009125642564115,7.871196616634472,7.732683955635855,7.759112843107166,7.522486446933182,7.524639453034404,7.626027858926311,7.885915827076357,7.825243222574954,7.963361239938403,Receptor_profile
CCDC134,7452,Q9H6E4,229,Coiled-coil domain-containing protein 134,,,"sp|Q9H6E4|CC134_HUMAN Coiled-coil domain-containing protein 134 OS=Homo sapiens (Human) OX=9606 GN=CCDC134 PE=1 SV=1;tr|B0QY51|B0QY51_HUMAN Isoform of Q9H6E4, Coiled-coil domain-containing protein 134 OS=Homo sapiens (Human) OX=9606 GN=CCDC134 PE=1 SV=1",9,38,,6.571020029152133,6.5813108605697845,6.564957004972072,7.288469518072293,7.3249811510551694,7.225150190162861,6.4623834157890485,6.438338552669269,6.44767982605503,7.254240890983793,7.300351494019865,7.249651537439172,6.811726856031476,6.751335933971144,6.759627004868812,7.221171200143355,7.186574197949308,7.1218253059024805,7.00276162670737,6.9388987957491395,6.918819889989108,7.204071624044823,7.251966018765043,7.264446689486472,7.391344221866651,7.343969171919398,7.207215906187589,7.2997481458184215,7.258075826674309,7.4105213018035165,FGFR2_F_unique
CCDC186,5740,Q7Z3E2,898,Coiled-coil domain-containing protein 186,,,sp|Q7Z3E2|CC186_HUMAN Coiled-coil domain-containing protein 186 OS=Homo sapiens (Human) OX=9606 GN=CCDC186 PE=1 SV=2,4,5.8,,5.822287346411267,5.888388922403815,5.823024571046055,6.310712762772052,6.393261649677267,6.3509465255345825,5.186844886411102,5.8823868744874455,4.871458557045567,6.07277221315624,6.000718469403684,6.2528469382279015,5.383962474810562,5.768238621279437,4.869794279607968,6.069402965972062,6.097627949289287,6.171343024331861,1.9937239479670223,4.564628293012911,2.8627667204366984,6.375147671837365,6.438933716795631,6.432749248747604,6.154872648536769,6.156738030693401,6.103532548196372,6.542435062132785,6.412899541706325,6.509333095914159,RE_Profile
CCDC22,2620,O60826,627,Coiled-coil domain-containing protein 22,,,sp|O60826|CCD22_HUMAN Coiled-coil domain-containing protein 22 OS=Homo sapiens (Human) OX=9606 GN=CCDC22 PE=1 SV=1,22,42.4,,7.275424348420243,7.291823998744093,7.317209836581787,7.44617282885737,7.461841810046574,7.489002004866986,7.165230147420884,7.091496421437103,7.169676026398459,7.499822597069419,7.490368023813345,7.486140227969373,7.273577271382637,7.321907870561944,7.295954429197942,7.5339967059224175,7.519037301024086,7.4965812132041725,7.377707854411303,7.373160732047042,7.3779781644826965,7.498631090237667,7.47329306490744,7.546819307641166,7.381121143121982,7.437756214429254,7.459200998227464,7.53546587068761,7.449613558096547,7.523230390865885,FGFR2_F_unique
CCDC43,6836,Q96MW1,224,Coiled-coil domain-containing protein 43,,,"sp|Q96MW1|CCD43_HUMAN Coiled-coil domain-containing protein 43 OS=Homo sapiens (Human) OX=9606 GN=CCDC43 PE=1 SV=2;tr|Q86WV7|Q86WV7_HUMAN Isoform of Q96MW1, CCDC43 protein OS=Homo sapiens (Human) OX=9606 GN=CCDC43 PE=1 SV=1",8,51.8,,7.2896761681329,7.176939778841174,7.142977097896869,7.595541946095654,7.741742675091868,7.724324123837749,4.907909834998483,2.8654615052399715,6.996120335004807,7.6164971223456455,7.732960874573492,7.649328986273083,5.038482291647045,5.565393715678855,5.32907807379979,7.699858766623765,7.698265140153656,7.717912871961745,7.166869479465156,7.220665864595303,7.002495164998576,7.600048783861768,7.574217328453844,7.602317729316319,7.2143791781341005,7.095058287650273,7.434132065924383,7.447173286263399,6.944384451767786,7.591279674518978,FGFR2_F_unique
CCDC47,6583,Q96A33,483,Coiled-coil domain-containing protein 47,,,"sp|Q96A33|CCD47_HUMAN Coiled-coil domain-containing protein 47 OS=Homo sapiens (Human) OX=9606 GN=CCDC47 PE=1 SV=1;sp|Q96A33-2|CCD47-2_HUMAN Isoform of Q96A33, Isoform 2 of Coiled-coil domain-containing protein 47 OS=Homo sapiens (Human) OX=9606 GN=CCDC47",23,48.2,,7.693556921982557,7.696508953431334,7.678308429188849,7.824926212272679,7.970721869422243,7.9942158419028395,7.6198419853074055,7.4890609965023875,7.567605003763012,8.089761370979355,7.951314037519766,8.133424785492487,7.742727974999864,7.800640440553681,7.71721196240912,8.02179175623449,8.017515665509038,8.035139356148246,7.875916678168222,7.808589316276132,7.800838636326028,8.008579104549735,8.063285778573317,8.084235951577304,8.329728306721782,8.1436379250798,8.198366538026821,8.050947728521274,8.109467262776215,7.81587321015018,FGFR2_F_unique
CCDC51,6701,Q96ER9,411,Coiled-coil domain-containing protein 51,,,"sp|Q96ER9|MITOK_HUMAN Mitochondrial potassium channel OS=Homo sapiens (Human) OX=9606 GN=CCDC51 PE=1 SV=2;sp|Q96ER9-2|MITOK-2_HUMAN Isoform of Q96ER9, Isoform 2 of Mitochondrial potassium channel OS=Homo sapiens (Human) OX=9606 GN=CCDC51 PE=1 SV=2",12,27.7,,6.862248357497379,6.944515991094199,6.677555471484317,7.699914421516071,7.637708578094629,7.663061335405116,6.45526758924421,6.932900836970352,6.389223752154813,7.68685347074665,7.613652400165254,7.668226430336859,7.015836660347867,6.96327718173239,6.88080919639657,7.516050227231479,7.474592511080823,7.478542659630431,6.81900093557875,7.220298747063463,7.1813541262729625,7.582695657541125,7.570669848755011,7.642793527222199,7.273694410946211,7.2426547214196795,7.124984198114353,7.5567442261079005,7.620017496537324,7.589506927121458,FGFR2_F_unique
CCDC93,1683,F8W9X7,630,Coiled-coil domain-containing protein 93,,,"tr|F8W9X7|F8W9X7_HUMAN Isoform of Q567U6, KOG2701 domain-containing protein OS=Homo sapiens (Human) OX=9606 GN=CCDC93 PE=1 SV=1;sp|Q567U6|CCD93_HUMAN Coiled-coil domain-containing protein 93 OS=Homo sapiens (Human) OX=9606 GN=CCDC93 PE=1 SV=2",16,26.2,,6.80470011139619,6.808635268429674,6.7957630202806865,7.356711666406068,7.315051032497292,7.303056242036563,6.810833823494932,6.816144136465714,6.608716432383646,7.289954587733149,7.415011096361374,7.300853960904976,6.780909718280472,6.881502396713566,6.843433912285701,7.2130649891618575,7.21768512781286,7.157934758842533,6.799129661021966,6.822906675858594,6.771563477586873,7.231598638083242,7.163599838984082,7.2192593838665635,7.062536994568433,7.126202590612667,7.081040326626532,7.278829300181304,7.211426677813377,7.252458929334973,FGFR2_F_unique
CCDC97,6716,Q96F63,343,Coiled-coil domain-containing protein 97,,,sp|Q96F63|CCD97_HUMAN Coiled-coil domain-containing protein 97 OS=Homo sapiens (Human) OX=9606 GN=CCDC97 PE=1 SV=1,5,21.3,,6.3727456529799555,1.745915375727475,4.50887316861826,6.26389745134061,6.696343784900679,6.686680910784645,5.393761485989868,4.849016704649866,6.169369261550431,6.75389234971531,6.440482094025914,6.72179141288836,5.476196361877232,3.9040912971203925,5.154221509892526,6.608923754971591,6.405746566977656,6.606818080873999,1.9927064362625,3.6736173207358,3.378631563300515,6.720950465760931,6.593346892899031,6.682752299563,5.892903322117051,6.369844092687824,6.434446749443599,6.703534391528993,6.733355170300852,6.651559872862521,FGFR2_F_unique
CCNL1,8186,Q9UK58-6,428,Cyclin-L1,,,"sp|Q9UK58-6|CCNL1-6_HUMAN Isoform of Q9UK58, Isoform 4 of Cyclin-L1 OS=Homo sapiens (Human) OX=9606 GN=CCNL1 PE=1 SV=1;sp|Q9UK58|CCNL1_HUMAN Cyclin-L1 OS=Homo sapiens (Human) OX=9606 GN=CCNL1 PE=1 SV=1;sp|Q9UK58-4|CCNL1-4_HUMAN Isoform of Q9UK58, Isoform 2",10,24.8,,3.893449133413117,6.138166830763444,6.130756314415808,6.579512231349614,6.713380936205274,6.840645704206881,6.093961939860488,4.798507089088458,4.939609481353301,6.616786927998047,6.773053611192819,6.641613801018873,6.19729032916826,5.8198154974887855,5.4349987702464295,6.3198168641134105,6.372738863074436,5.60999976669026,4.443873323912312,5.921223637087072,5.129455396934547,6.424423551385372,6.405467249824365,6.503554333458086,5.945667463995891,5.548319742634353,5.4827174116122634,6.388722324140661,6.5467006087291,6.423525634473925,RE_Profile
CCNT1,2595,O60563,726,Cyclin-T1,,,sp|O60563|CCNT1_HUMAN Cyclin-T1 OS=Homo sapiens (Human) OX=9606 GN=CCNT1 PE=1 SV=1,11,24.5,,7.42566288084437,7.421913815279019,7.4414530621260075,7.161347858246715,7.169614404582788,7.184013389429911,7.367600371627694,7.536513332549612,7.315683868397356,7.14477230991725,7.1077776463855376,7.259498105147098,7.327549152816081,7.334999968940137,7.3360814067691855,6.994579081234628,6.931430766592704,6.954057582709146,6.758860442173856,6.905541389706794,6.7410473874348344,6.979912959000867,7.014148953936445,7.015321323781165,6.944682014575204,7.171645973710955,7.134472569534632,7.027028739491387,7.025781018519982,7.1177915206533715,RE_Profile
CCPG1,8233,Q9ULG6-2,613,Cell cycle progression protein 1,,,"sp|Q9ULG6-2|CCPG1-2_HUMAN Isoform of Q9ULG6, Isoform 2 of Cell cycle progression protein 1 OS=Homo sapiens (Human) OX=9606 GN=CCPG1 PE=1 SV=3;sp|Q9ULG6|CCPG1_HUMAN Cell cycle progression protein 1 OS=Homo sapiens (Human) OX=9606 GN=CCPG1 PE=1 SV=3;sp|Q9ULG",12,20.4,,6.080960975420873,6.279914067463173,6.313244599000176,6.995177036266138,6.464802506721929,6.555140504024189,6.243404422521804,5.887060987999199,4.262802572883884,6.903024843660881,6.813847234372029,6.765956752179383,4.150956827552067,4.951883080271577,6.168300371945004,6.59037007952937,6.569765554063966,6.587334287759332,5.505746110843329,5.871710284977663,5.291968240876756,6.389840306692634,6.129834413016031,6.551310044844799,7.516514932201734,7.460499301855,7.656799048581452,6.147231246620401,6.068850453653704,6.398318689292587,FGFR2_F_unique
CCZ1,4399,P86791,482,Vacuolar fusion protein CCZ1 homolog,,,sp|P86791|CCZ1_HUMAN Vacuolar fusion protein CCZ1 homolog OS=Homo sapiens (Human) OX=9606 GN=CCZ1 PE=1 SV=1;sp|P86790|CCZ1B_HUMAN Vacuolar fusion protein CCZ1 homolog B OS=Homo sapiens (Human) OX=9606 GN=CCZ1B PE=1 SV=1,14,32.4,,7.25650636426763,7.206113567456096,7.170893526335317,6.925602390456929,7.146413065133222,7.141396014524894,6.99647168569775,7.237336671468594,7.162681103028309,7.044157637358882,6.909825857730458,7.186245655267438,7.2263081234552295,7.248320117696024,7.198041463022646,6.904272408753757,7.0281264741562905,6.874885046836297,6.80192929330485,6.788172175319113,6.842628811860391,7.065144489737532,7.2076729521239775,7.162410061754481,6.955942472405529,7.11443475511026,6.988554119875954,7.193093464876927,7.137992644815843,7.156052649082503,RE_Profile
CD109,5633,Q6YHK3,1445,CD109 antigen,,,"sp|Q6YHK3|CD109_HUMAN CD109 antigen OS=Homo sapiens (Human) OX=9606 GN=CD109 PE=1 SV=2;sp|Q6YHK3-4|CD109-4_HUMAN Isoform of Q6YHK3, Isoform 4 of CD109 antigen OS=Homo sapiens (Human) OX=9606 GN=CD109 PE=1 SV=2;sp|Q6YHK3-2|CD109-2_HUMAN Isoform of Q6YHK3, I",34,31,,7.843109897849332,7.8473043631689015,7.841402129846283,8.087946119273493,8.079395484088469,8.113498462770387,7.8600964020597734,7.879803265576968,7.841156250138735,8.136938409362454,8.021855213074357,8.020115206751257,7.967811997414008,8.006636647650776,8.023742221769348,7.863926274748669,7.908869948311871,7.82333953546966,7.780423681706649,7.758891453544722,7.77932559839546,7.788443042121426,7.767389303089281,7.7457445360660016,7.844358013229078,7.828218789409478,7.827490276348616,7.693626191565927,7.698184242742673,7.715204369825654,RE_Profile
CD151,1494,K4DIA7,230,Tetraspanin,,,"tr|K4DIA7|K4DIA7_HUMAN Isoform of P48509, Tetraspanin (Fragment) OS=Homo sapiens (Human) OX=9606 GN=CD151 PE=1 SV=1;tr|E9PMR4|E9PMR4_HUMAN Isoform of P48509, Tetraspanin OS=Homo sapiens (Human) OX=9606 GN=CD151 PE=1 SV=1;sp|P48509|CD151_HUMAN CD151 antigen",2,8.3,,4.258843857168433,6.32764863360564,6.167791693769233,4.6526547736051,4.4272550563318305,5.900974935823637,3.4083508394456596,5.932479227592207,4.934858790192783,5.665768531292104,5.69453051624274,6.022554094145356,5.029392557373722,5.870772679384193,6.028233108217487,6.698999608777214,6.5837580047254125,7.368985168413606,2.8192542958191673,5.310789044525225,4.006992144029358,3.3110823608438666,6.556203036663707,6.604100281078418,4.994964461417224,3.9214807285358804,4.938366496422475,6.571191494234062,6.609965129392396,6.605284854495781,RE_Profile
CD2AP,8513,Q9Y5K6,639,CD2-associated protein,,,sp|Q9Y5K6|CD2AP_HUMAN CD2-associated protein OS=Homo sapiens (Human) OX=9606 GN=CD2AP PE=1 SV=1,19,36.3,,7.397085508887147,7.385441572030917,7.394813468713824,7.541113945928286,7.596778232867663,7.602541156015751,7.016331938918855,6.8683021875667665,7.06161578623679,7.726974987915693,7.6118800677219625,7.740148200899595,6.700689139243372,6.747978562864449,6.968250284776609,7.736718735880831,7.73067496478346,7.664541705708778,6.77567058134552,6.867712159390239,6.87384725761281,7.6109113839422005,7.683423221122571,7.622018464054586,6.8999953574788675,6.966183459433093,7.062242505695831,7.627195186561077,7.647659609389398,7.66717002622513,FGFR2_F_unique
CD46,3315,P15529-7,355,Membrane cofactor protein,,,"sp|P15529-7|MCP-7_HUMAN Isoform of P15529, Isoform L of Membrane cofactor protein OS=Homo sapiens (Human) OX=9606 GN=CD46 PE=1 SV=3;sp|P15529-4|MCP-4_HUMAN Isoform of P15529, Isoform F of Membrane cofactor protein OS=Homo sapiens (Human) OX=9606 GN=CD46 PE",10,22.3,,6.988268319309328,7.470672171122492,7.3795961715888465,8.075905657897742,8.041019854847534,8.04197354133363,7.127024315083873,7.1920725583076734,7.012883535468872,7.9981624389838295,8.07661632184226,8.10591903953907,6.7983299992181685,6.707594887892303,6.853766947001367,7.740825460173921,7.743744377405252,7.8076467740639695,6.814215092284339,6.795672135418573,6.756974730946842,7.885022497100003,7.853600951490262,7.9918646033948475,7.060734072169583,7.252974384988835,7.00457058771716,7.993360807981509,7.868825744390464,7.777076368094352,FGFR2_F_unique
CD47,4563,Q08722,323,Leukocyte surface antigen CD47,,,"sp|Q08722|CD47_HUMAN Leukocyte surface antigen CD47 OS=Homo sapiens (Human) OX=9606 GN=CD47 PE=1 SV=1;tr|A0A2R8Y484|A0A2R8Y484_HUMAN Isoform of Q08722, Ig-like domain-containing protein (Fragment) OS=Homo sapiens (Human) OX=9606 GN=CD47 PE=1 SV=1;sp|Q08722",4,12.1,,5.763111434807019,6.672601591112499,4.72266967839677,7.72402894087175,7.5912113143376025,7.66641056599675,5.586112864674153,3.299796273218217,5.307032029700665,7.685065167116427,7.755119037005521,7.836667361585384,4.873911990591708,4.774775609152918,6.127906827848029,7.674035342703976,7.618505616663436,7.642683312064255,6.781530320554295,6.743299468475096,6.72017985419571,7.472586864323996,7.434050460546796,7.45057378212827,6.721998806333452,6.80256076545711,6.6980961099703,7.380267784124688,7.423594890786676,7.421506373598884,Receptor_profile
CD9,552,A6NNI4,159,Tetraspanin,,,"tr|A6NNI4|A6NNI4_HUMAN Isoform of P21926, Tetraspanin OS=Homo sapiens (Human) OX=9606 GN=CD9 PE=1 SV=1;tr|A0A2R8Y478|A0A2R8Y478_HUMAN Isoform of P21926, Tetraspanin OS=Homo sapiens (Human) OX=9606 GN=CD9 PE=1 SV=1;tr|G8JLH6|G8JLH6_HUMAN Isoform of P21926,",4,13.8,,6.622778923170031,6.499349111312112,6.521985648084711,7.793734557649957,7.673279053286951,7.656291121965327,6.359094860931609,6.341697061521569,6.441770940812115,7.669448333139876,7.73752421421346,7.669192192050037,4.327863197700042,4.971454651505503,4.549132120493807,7.4145867666129845,7.45759683543443,7.577479479774712,4.839937525672149,5.386763654534032,6.136082305935705,7.755115771013684,7.734040219304656,7.745214629596482,6.839211058386188,7.0214885280983435,6.760763966607945,7.775024999022169,7.7400611342698715,7.787912425729688,FGFR2_F_unique
CD97,3919,P48960-2,742,CD97 antigen,,,"sp|P48960-2|AGRE5-2_HUMAN Isoform of P48960, Isoform 2 of Adhesion G protein-coupled receptor E5 OS=Homo sapiens (Human) OX=9606 GN=ADGRE5 PE=1 SV=4;sp|P48960-3|AGRE5-3_HUMAN Isoform of P48960, Isoform 3 of Adhesion G protein-coupled receptor E5 OS=Homo sa",16,30.2,,7.696047933566794,7.697412509789016,7.688603921005613,8.004549770190302,7.956933020534492,7.953857557783944,7.583888624360004,7.669715393114349,7.687117780032932,8.017952511079061,7.986441822892436,7.882024648367085,7.614395740584126,7.7893822773153865,7.784049632637874,7.638364361794275,7.6993413992191915,7.7685768092460705,7.216608747778743,7.301647211035187,7.224604648238028,7.58897005655329,7.545110318370631,7.485495478993224,7.100005578877246,7.30606834649373,7.373261704287952,7.513748739041363,7.562348849229416,7.547565402313531,RE_Profile
CDC123,2735,O75794,336,Cell division cycle protein 123 homolog,,,"sp|O75794|CD123_HUMAN Cell division cycle protein 123 homolog OS=Homo sapiens (Human) OX=9606 GN=CDC123 PE=1 SV=1;tr|X6RA30|X6RA30_HUMAN Isoform of O75794, Cell division cycle protein 123 homolog OS=Homo sapiens (Human) OX=9606 GN=CDC123 PE=1 SV=1;tr|X6RF8",16,62.2,,7.659551083721318,7.726680737081748,7.685071842915082,7.478479593669012,7.575667481538169,7.52335232213979,7.808355124100666,7.7582600472411984,7.690664396389812,7.591351581654163,7.459527301052715,7.6142567896840445,7.606457680062053,7.532106584676208,7.514498220125149,7.5655914446325125,7.484836779164959,7.6456732543427774,7.717865721614464,7.704970888405504,7.776023899277099,7.793122889470847,7.854450319187181,7.831012413013788,7.874395784991492,7.828668028256791,7.875713737630437,7.875709371250486,7.892596626955427,7.846417517091936,Receptor_profile
CDC16,4648,Q13042-3,568,Cell division cycle protein 16 homolog,,,"sp|Q13042-3|CDC16-3_HUMAN Isoform of Q13042, Isoform 3 of Cell division cycle protein 16 homolog OS=Homo sapiens (Human) OX=9606 GN=CDC16 PE=1 SV=2;sp|Q13042-2|CDC16-2_HUMAN Isoform of Q13042, Isoform 2 of Cell division cycle protein 16 homolog OS=Homo sap",17,29.9,,7.665127343599942,7.669840916073003,7.689980397737564,7.567289198271062,7.460792575224481,7.576637594528691,7.675629010523567,7.782983952234111,7.6673296373550635,7.507879581257182,7.5703236238985365,7.561327111502515,7.630304529011244,7.581939109589036,7.644397960343847,7.358349807863009,7.3240044498181796,7.440506748609339,7.283883937286693,7.143227194226795,7.27162927598864,7.432349821243723,7.432314240366193,7.467495829118369,7.380765807484503,7.481047246070687,7.4570261318729685,7.394713226727079,7.43792608741864,7.388469113538184,RE_Profile
CDC27,3611,P30260,824,Cell division cycle protein 27 homolog,,,"sp|P30260|CDC27_HUMAN Cell division cycle protein 27 homolog OS=Homo sapiens (Human) OX=9606 GN=CDC27 PE=1 SV=2;sp|P30260-2|CDC27-2_HUMAN Isoform of P30260, Isoform 2 of Cell division cycle protein 27 homolog OS=Homo sapiens (Human) OX=9606 GN=CDC27 PE=1 S",23,37.7,,8.130305077955862,8.068752099353349,8.088167203296965,7.6548046208301335,7.672883354832125,7.746130263827132,7.903626515662533,7.842108607330057,7.907833168516793,7.7217884537361785,7.652260678525356,7.824863206362534,7.8091935544428015,7.880792510655641,7.895075096207496,7.73734311661048,7.891008198386612,7.750569759988402,7.907161485734182,7.895669158197391,7.81715023690461,7.7624257052707994,7.798037210366847,7.776203767079783,7.820983662408951,7.842111969184652,7.77238870764701,7.819693148594983,7.800755461405469,7.855765612510689,RE_Profile
CDC34,3938,P49427,236,Ubiquitin-conjugating enzyme E2 R1,,,sp|P49427|UB2R1_HUMAN Ubiquitin-conjugating enzyme E2 R1 OS=Homo sapiens (Human) OX=9606 GN=CDC34 PE=1 SV=2,7,29.7,,7.442174477443242,7.315058036710279,7.43351866374302,6.966994576312852,7.218677854969715,7.249514165206379,7.305974630797152,7.438001519280534,7.514263175471212,7.185887910206116,7.265097360957539,7.201830613892051,7.47663546902063,7.43015391252269,7.497561948136051,5.679550286352063,7.262913939561137,7.244684321593609,6.674642590524932,6.878227193712416,6.869832172959109,7.062768082323535,7.09554613497772,7.1032326709458475,6.973967425715162,7.170714570100841,7.10971763519223,7.2301776975079655,7.221535589841738,6.74323041578726,RE_Profile
