"","id","Majority protein IDs","Sequence length","Gene names","Protein names","Reverse","Potential contaminant","Fasta headers","Razor + unique peptides","Unique + razor sequence coverage [%]","Only identified by site","LFQ intensity R2M_GFPA_P_C_A_40_01","LFQ intensity R2M_GFPA_P_C_A_40_02","LFQ intensity R2M_GFPA_P_C_A_40_03","LFQ intensity R2M_GFPA_P_C_T_40_01","LFQ intensity R2M_GFPA_P_C_T_40_02","LFQ intensity R2M_GFPA_P_C_T_40_03","LFQ intensity R2M_GFPA_P_F_A_40_01","LFQ intensity R2M_GFPA_P_F_A_40_02","LFQ intensity R2M_GFPA_P_F_A_40_03","LFQ intensity R2M_GFPA_P_F_T_40_01","LFQ intensity R2M_GFPA_P_F_T_40_02","LFQ intensity R2M_GFPA_P_F_T_40_03","LFQ intensity R2M_R11A_P_F_A_40_01","LFQ intensity R2M_R11A_P_F_A_40_02","LFQ intensity R2M_R11A_P_F_A_40_03","LFQ intensity R2M_R11A_P_F_T_40_01","LFQ intensity R2M_R11A_P_F_T_40_02","LFQ intensity R2M_R11A_P_F_T_40_03","LFQ intensity R2A_R11G_P_C_A_40_01","LFQ intensity R2A_R11G_P_C_A_40_02","LFQ intensity R2A_R11G_P_C_A_40_03","LFQ intensity R2A_R11G_P_C_T_40_01","LFQ intensity R2A_R11G_P_C_T_40_02","LFQ intensity R2A_R11G_P_C_T_40_03","LFQ intensity R2A_R11G_P_F_A_40_01","LFQ intensity R2A_R11G_P_F_A_40_02","LFQ intensity R2A_R11G_P_F_A_40_03","LFQ intensity R2A_R11G_P_F_T_40_01","LFQ intensity R2A_R11G_P_F_T_40_02","LFQ intensity R2A_R11G_P_F_T_40_03"
"1199",1990,"H7C2Q8",361,"EBNA1BP2","Probable rRNA-processing protein EBP2","","","tr|H7C2Q8|H7C2Q8_HUMAN Isoform of Q99848, EBNA1 binding protein 2, isoform CRA_d OS=Homo sapiens (Human) OX=9606 GN=EBNA1BP2 PE=1 SV=1;sp|Q99848|EBP2_HUMAN Probable rRNA-processing protein EBP2 OS=Homo sapiens (Human) OX=9606 GN=EBNA1BP2 PE=1 SV=2",12,36,"",6.42366065818156,6.11631708349588,6.08145516607808,7.07343079721351,7.34290731082202,7.27144819457405,6.13893962086194,6.08105740641256,6.09001335592468,6.79701675179722,6.52579703568003,6.89191200028071,5.8557503675037,5.8133854398103,5.92970559434695,7.72731601647617,7.69634248941214,7.71456104645292,7.87898562001663,7.94782531613088,7.91585275246073,7.87628468617708,7.7483233898069,7.95049928733594,7.56160559337204,7.70589979747562,7.49428654738716,7.93677762189107,7.93358644388933,7.87446567590404
"1200",1992,"H7C3M7",482,"FARP2","","","","tr|H7C3M7|H7C3M7_HUMAN Isoform of O94887, FA domain-containing protein (Fragment) OS=Homo sapiens (Human) OX=9606 GN=FARP2 PE=1 SV=2",3,7.5,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.13597551753075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1201",1993,"H7C3Q6",231,"MITD1","MIT domain-containing protein 1","","","tr|H7C3Q6|H7C3Q6_HUMAN Isoform of Q8WV92, MIT domain-containing protein (Fragment) OS=Homo sapiens (Human) OX=9606 GN=MITD1 PE=1 SV=1;sp|Q8WV92|MITD1_HUMAN MIT domain-containing protein 1 OS=Homo sapiens (Human) OX=9606 GN=MITD1 PE=1 SV=1;tr|B8ZZL5|B8ZZL5_",3,15.2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.53099109382829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.32545755680764,6.41268156948777,NA,NA,NA,NA,NA,NA
"1202",1997,"H7C488",235,"LZTFL1","Leucine zipper transcription factor-like protein 1","","","tr|H7C488|H7C488_HUMAN Isoform of Q9NQ48, Leucine zipper transcription factor-like protein 1 (Fragment) OS=Homo sapiens (Human) OX=9606 GN=LZTFL1 PE=1 SV=1;sp|Q9NQ48-3|LZTL1-3_HUMAN Isoform of Q9NQ48, Isoform 3 of Leucine zipper transcription factor-like p",4,21.3,"",NA,NA,NA,6.47968369652147,6.61233709452308,6.65601737356814,NA,NA,NA,6.6044860536593,6.25642105166776,6.61107754969988,NA,NA,NA,6.23842481721994,NA,NA,NA,NA,NA,6.46946789861123,6.51970439076151,6.39680894788145,NA,NA,NA,6.45138930952385,6.42181145341048,6.42072142723396
"1203",1998,"H7C5A7",209,"ACOT8","Acyl-coenzyme A thioesterase 8","","","tr|H7C5A7|H7C5A7_HUMAN Isoform of O14734, Acyl-coenzyme A thioesterase 8 (Fragment) OS=Homo sapiens (Human) OX=9606 GN=ACOT8 PE=1 SV=1;sp|O14734|ACOT8_HUMAN Acyl-coenzyme A thioesterase 8 OS=Homo sapiens (Human) OX=9606 GN=ACOT8 PE=1 SV=1;tr|A0A494C0N6|A0A",4,26.3,"",6.95362034442541,6.9775705201613,7.0460345477206,6.71087660406255,NA,6.78857440791911,6.96015378911816,6.99597532283733,7.05538211903481,6.7374094762009,6.72359238606916,6.76453692031745,6.80519652207705,7.07970637410416,7.09425230038716,6.76213399075327,6.81588095513029,6.85262356738002,6.59498523056633,6.62086541227282,6.58002516027026,6.7300931896274,6.64668657382479,6.74269620204271,6.70717429687729,6.66214773414259,NA,6.66992945716436,6.67066999536128,6.71106986759939
"1204",2000,"H8Y6P7",765,"GCOM1","Myocardial zonula adherens protein","","","tr|H8Y6P7|H8Y6P7_HUMAN GCOM1 readthrough, GRINL1A combined protein 15 OS=Homo sapiens (Human) OX=9606 GN=GCOM1 PE=2 SV=1;sp|P0CAP1-11|MYZAP-11_HUMAN Isoform of P0CAP1, Isoform 11 of Myocardial zonula adherens protein OS=Homo sapiens (Human) OX=9606 GN=MYZA",5,7.3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.08784813884778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1205",2002,"H9KVB4",2968,"TNRC18","Trinucleotide repeat-containing gene 18 protein","","","tr|H9KVB4|H9KVB4_HUMAN Isoform of O15417, BAH domain-containing protein OS=Homo sapiens (Human) OX=9606 GN=TNRC18 PE=1 SV=1;sp|O15417|TNC18_HUMAN Trinucleotide repeat-containing gene 18 protein OS=Homo sapiens (Human) OX=9606 GN=TNRC18 PE=1 SV=3;sp|O15417-",30,13.6,"",7.21992626430247,7.22868563123746,7.20890784604219,6.61037675498207,6.66902633150336,6.48578612143646,7.20431948721188,7.17418606505705,6.94324321090076,6.41181519684808,6.4488124090995,6.44048136892675,7.27816591106802,7.33301582950288,7.2462930612261,6.71462462597896,6.55459291925534,6.51962082195087,7.24183817601223,7.21168360794737,7.19527684189227,6.41631572822074,6.53783089520255,6.51488644067786,7.30284074582558,7.17296060664888,7.20357949425804,6.46393975705513,6.49690833808704,6.5056899180998
"1206",2003,"I3L0A0",370,"TMEM189-UBE2V1","Ubiquitin-conjugating enzyme E2 variant 1","","","tr|I3L0A0|I3L0A0_HUMAN TMEM189-UBE2V1 readthrough, UBIQUITIN_CONJUGAT_2 domain-containing protein OS=Homo sapiens (Human) OX=9606 GN=TMEM189-UBE2V1 PE=1 SV=1;sp|Q13404-1|UB2V1-1_HUMAN Isoform of Q13404, Isoform 1 of Ubiquitin-conjugating enzyme E2 variant",17,37.6,"",7.62405967806407,7.60064073412691,7.59720474220123,8.58240270337968,8.61290773704939,8.54854204321939,7.6304880447167,7.57916472165768,7.7025717301311,8.55352648590522,8.63616831428301,8.5937717792348,7.4956982281845,7.538158663596,7.43447330979845,8.52917751434609,8.55186901364239,8.57585820581347,8.20003227940093,8.19723118514531,8.15571958208149,8.59466172328382,8.58687498256512,8.5607927307446,8.17528726544752,8.10545484921704,7.93966010484303,8.58092086233534,8.61177870323558,8.55997824488249
"1207",2004,"I3L0E3",225,"hCG_1984214","28S ribosomal protein S17, mitochondrial","","","tr|I3L0E3|I3L0E3_HUMAN ENSG00000249773 readthrough, KRAB domain-containing protein OS=Homo sapiens (Human) OX=9606 GN=ENSG00000249773 PE=4 SV=1;sp|Q9Y2R5|RT17_HUMAN 28S ribosomal protein S17, mitochondrial OS=Homo sapiens (Human) OX=9606 GN=MRPS17 PE=1 SV=",4,25.8,"",7.67522851323874,7.61186912122873,7.74559597546545,7.34397419969689,7.31203596487432,7.29681258193158,7.66144174641013,7.65898250163719,7.73262204796423,7.18253276921484,7.1602665110188,7.19873619002934,7.81018972260686,7.84029905910525,7.74969787290044,7.27142180616589,7.32889954614729,7.34854006147225,7.47027241267419,7.53422884878325,7.54471671399028,7.39240985421871,7.4428850216446,7.40054453313453,7.49986604470105,7.49169967017124,7.49812023925192,7.35916786126077,7.31407120048804,7.37589156695766
"1209",2007,"I3L0N3",739,"NSF","Vesicle-fusing ATPase","","","tr|I3L0N3|I3L0N3_HUMAN Isoform of P46459, Vesicle-fusing ATPase OS=Homo sapiens (Human) OX=9606 GN=NSF PE=1 SV=1;sp|P46459|NSF_HUMAN Vesicle-fusing ATPase OS=Homo sapiens (Human) OX=9606 GN=NSF PE=1 SV=3;sp|P46459-2|NSF-2_HUMAN Isoform of P46459, Isoform 2",49,58.5,"",8.49398002260812,8.52074475316074,8.48746278210933,8.55277596487429,8.578265433915,8.55534511131013,8.49198272904641,8.42615617733885,8.45884760094802,8.6079168714401,8.52322575866091,8.62560477044505,8.50600474326101,8.52088677844575,8.48812980440977,8.53525493752281,8.51761837911126,8.53541754473489,8.2303383684956,8.25057541590399,8.2224521362952,8.46475910452896,8.49332727135133,8.49716503964683,8.37417578024831,8.41259781261487,8.3844337446817,8.49995146089859,8.4477752366236,8.49981316105191
"1210",2008,"I3L0U2",218,"PRSS21","Testisin","","","tr|I3L0U2|I3L0U2_HUMAN Isoform of Q9Y6M0, Peptidase S1 domain-containing protein (Fragment) OS=Homo sapiens (Human) OX=9606 GN=PRSS21 PE=1 SV=1;sp|Q9Y6M0-3|TEST-3_HUMAN Isoform of Q9Y6M0, Isoform 3 of Testisin OS=Homo sapiens (Human) OX=9606 GN=PRSS21 PE=2",4,20.2,"",7.40899665229784,7.43016019978539,7.36266238467011,6.98252133566097,7.14849846079063,7.08042144953766,7.3662301621696,7.37896955781994,7.41360323441528,7.12531722643439,7.12118440916984,7.22283149947643,7.22297443541107,7.36393158587497,7.41041531097055,7.08112395638626,7.03350950932862,6.97096208207287,7.0161472160659,6.8525189017306,NA,6.67416514047555,6.8198992128358,6.87382581590172,7.06328751870574,7.14734050600557,7.16859953360176,6.71413034783862,6.81681450129658,6.80486505343287
"1211",2009,"I3L0U5",292,"CCDC137","Coiled-coil domain-containing protein 137","","","tr|I3L0U5|I3L0U5_HUMAN Isoform of Q6PK04, Coiled-coil domain-containing protein 137 (Fragment) OS=Homo sapiens (Human) OX=9606 GN=CCDC137 PE=1 SV=1;sp|Q6PK04|CC137_HUMAN Coiled-coil domain-containing protein 137 OS=Homo sapiens (Human) OX=9606 GN=CCDC137 P",6,23.3,"",NA,NA,NA,6.52344773683259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.55800920668622,6.38106529169667,6.74901293115565,6.45479334628083,6.32654538912149,6.38237579798125,6.6389096120754,6.72202628410807,6.68182002236423,6.50398066046231,NA,NA,6.65249180004386,6.66528461834799,6.64095632053692
"1212",2011,"I3L0W4",136,"SAT2","Diamine acetyltransferase 2","","","tr|I3L0W4|I3L0W4_HUMAN Isoform of Q96F10, N-acetyltransferase domain-containing protein OS=Homo sapiens (Human) OX=9606 GN=SAT2 PE=1 SV=1;sp|Q96F10|SAT2_HUMAN Diamine acetyltransferase 2 OS=Homo sapiens (Human) OX=9606 GN=SAT2 PE=1 SV=1",2,11.8,"",NA,NA,NA,6.43999510177975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.29463867811923,6.34036732188382,NA,NA,NA,NA,NA,6.37050335910931,NA,NA,NA,6.39351146680268,6.314021936375,6.34447225781612
"1213",2012,"I3L4W0",67,"CTDNEP1","CTD nuclear envelope phosphatase 1","","","tr|I3L4W0|I3L4W0_HUMAN Isoform of O95476, CTD nuclear envelope phosphatase 1 OS=Homo sapiens (Human) OX=9606 GN=CTDNEP1 PE=1 SV=1;tr|I3L0X6|I3L0X6_HUMAN Isoform of O95476, FCP1 homology domain-containing protein (Fragment) OS=Homo sapiens (Human) OX=9606 G",2,29.9,"",7.08153488805232,7.13300411567563,7.03020194147112,NA,6.11145082697951,NA,7.05728556947447,6.80986761735389,6.82069351702347,NA,NA,NA,NA,6.48718996523577,6.74635869476771,NA,NA,NA,NA,6.34992504925028,NA,NA,NA,6.32341624101662,NA,6.57532305760584,NA,NA,NA,NA
"1214",2014,"I3L1H5",431,"DPH1","Diphthamide biosynthesis protein 1","","","tr|I3L1H5|I3L1H5_HUMAN Isoform of Q9BZG8, 2-(3-amino-3-carboxypropyl)histidine synthase subunit 1 (Fragment) OS=Homo sapiens (Human) OX=9606 GN=DPH1 PE=1 SV=1;sp|Q9BZG8|DPH1_HUMAN 2-(3-amino-3-carboxypropyl)histidine synthase subunit 1 OS=Homo sapiens (Hum",7,18.6,"",NA,6.43320960566258,NA,7.18517177411734,6.93577889956032,6.99763980230226,6.48025928544009,6.68566683249916,6.47917820586007,6.91047130905998,6.91134331490064,6.91220992484546,6.45425964637503,6.53242288048839,6.29450188259914,6.88997338267991,6.77619080265109,6.71931595571112,6.47669612773922,NA,NA,6.83943066757119,6.96150094508648,6.91843048736784,NA,NA,NA,6.86392120972481,6.82719329515303,6.82635386109419
"1215",2015,"I3L1J2",406,"CDH5","Cadherin-5","","","tr|I3L1J2|I3L1J2_HUMAN Isoform of P33151, Cadherin-5 OS=Homo sapiens (Human) OX=9606 GN=CDH5 PE=1 SV=1;sp|P33151-2|CADH5-2_HUMAN Isoform of P33151, Isoform 2 of Cadherin-5 OS=Homo sapiens (Human) OX=9606 GN=CDH5 PE=1 SV=5;sp|P33151|CADH5_HUMAN Cadherin-5 O",2,5.7,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.04539465355754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1216",2016,"I3L1P8",296,"SLC25A11","Mitochondrial 2-oxoglutarate/malate carrier protein","","","tr|I3L1P8|I3L1P8_HUMAN Isoform of Q02978, Mitochondrial 2-oxoglutarate/malate carrier protein (Fragment) OS=Homo sapiens (Human) OX=9606 GN=SLC25A11 PE=1 SV=1;sp|Q02978|M2OM_HUMAN Mitochondrial 2-oxoglutarate/malate carrier protein OS=Homo sapiens (Human)",16,59.8,"",8.46145399822676,8.42958387866239,8.52109934130313,8.29032688562009,8.30079813555272,8.36397038627267,8.29425588022875,8.34661521412432,8.2751441339625,8.29998308416603,8.29938535786669,8.25621258100907,8.38668561011981,8.36473108767063,8.35391390430475,8.34552898308639,8.37648832379084,8.3092536905259,7.60547798029587,7.57594399032835,7.52862404193805,8.03484944986886,8.10102228899713,8.05369514848971,7.67811729266107,7.72157073317847,7.7990825034835,8.03022625673357,8.04894841900387,8.23890335902013
"1217",2017,"I3L1Q2",293,"BCL7C","B-cell CLL/lymphoma 7 protein family member C","","","tr|I3L1Q2|I3L1Q2_HUMAN Isoform of Q8WUZ0, HTH_48 domain-containing protein (Fragment) OS=Homo sapiens (Human) OX=9606 GN=BCL7C PE=1 SV=1;sp|Q8WUZ0|BCL7C_HUMAN B-cell CLL/lymphoma 7 protein family member C OS=Homo sapiens (Human) OX=9606 GN=BCL7C PE=1 SV=3;",3,24.6,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.99323230465173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1218",2018,"I3L1Q3",262,"ELP5","Elongator complex protein 5","","","tr|I3L1Q3|I3L1Q3_HUMAN Isoform of Q8TE02, Elongator complex protein 5 (Fragment) OS=Homo sapiens (Human) OX=9606 GN=ELP5 PE=1 SV=1;sp|Q8TE02|ELP5_HUMAN Elongator complex protein 5 OS=Homo sapiens (Human) OX=9606 GN=ELP5 PE=1 SV=2;sp|Q8TE02-4|ELP5-4_HUMAN I",5,19.1,"",6.80194289154238,6.72974880834522,6.87614912200237,6.71953900514511,6.62474605300201,6.70725600800805,6.62408075988973,6.48597450808818,6.43659494241331,6.7696887640007,7.01254620324678,6.74732493036407,6.62323146738388,6.75761899494368,6.30877312154455,6.64733964708202,6.79681286551968,NA,6.51661800381745,6.55515275123234,6.57241859345953,6.70792457115198,6.76238855875197,6.72929255952116,6.6574081829074,6.400346084668,6.43689904581976,6.63508741952045,6.65408889234999,6.66728888974795
"1219",2019,"I3L2C7",1047,"GEMIN4","Gem-associated protein 4","","","tr|I3L2C7|I3L2C7_HUMAN Isoform of P57678, Gem-associated protein 4 OS=Homo sapiens (Human) OX=9606 GN=GEMIN4 PE=1 SV=1;sp|P57678|GEMI4_HUMAN Gem-associated protein 4 OS=Homo sapiens (Human) OX=9606 GN=GEMIN4 PE=1 SV=2",23,24.6,"",7.44505992076862,7.53787930386848,7.52689184310565,7.70674530100139,7.53381784432337,7.70973990798289,7.67822683125074,7.68123549391854,7.74352094458027,7.65230841213346,7.66629287894284,7.53376447651283,7.57872224156315,7.55829970509135,7.62901656784414,7.62981991414596,7.6459257696726,7.66125679074531,7.56530476433407,7.5505426314218,7.50278756324234,7.71621030462142,7.51702256684945,7.7164570324531,7.60887152563313,7.58029991745108,7.57157783403055,7.65324786615266,7.63492862512914,7.59078848886121
"1220",2020,"I3L2J0",2514,"CIC","","","","tr|I3L2J0|I3L2J0_HUMAN Isoform of Q96RK0, HMG box domain-containing protein OS=Homo sapiens (Human) OX=9606 GN=CIC PE=1 SV=1;tr|A0A0A0MQR4|A0A0A0MQR4_HUMAN Isoform of Q96RK0, HMG box domain-containing protein OS=Homo sapiens (Human) OX=9606 GN=CIC PE=1 SV=",21,11.9,"",6.65321384881145,6.66303204511161,NA,6.77763972573826,6.82136719565732,6.88954350099306,6.77978940641407,6.73985961854918,6.72057561062282,6.7797041148687,6.69525899382258,6.79053697210877,6.61214607314119,6.6172268160143,6.65722512741527,6.74265178205748,6.66963479005003,6.59045338847416,6.72470775293573,6.660827361833,6.65528963529299,6.74323451927666,6.74267572477077,6.7633779198287,6.64127911287424,6.71351287306125,6.69757539001448,6.68621570530878,6.75932586067131,6.78236286808335
"1221",2021,"I3L2J8",1047,"CEP131","Centrosomal protein of 131 kDa","","","tr|I3L2J8|I3L2J8_HUMAN Isoform of Q9UPN4, Centrosomal protein of 131 kDa OS=Homo sapiens (Human) OX=9606 GN=CEP131 PE=1 SV=1;sp|Q9UPN4-3|CP131-3_HUMAN Isoform of Q9UPN4, Isoform 3 of Centrosomal protein of 131 kDa OS=Homo sapiens (Human) OX=9606 GN=CEP131",13,18.6,"",NA,6.43601311469135,6.37293393544491,6.55379815226651,6.74844398393189,6.74498511848059,NA,NA,NA,6.59652727089036,6.53591969219514,6.61943404986914,NA,6.24282549790725,6.13034641268985,6.59492927169765,6.47448051383815,6.41000324741621,NA,NA,NA,6.69394375233199,6.55110286648216,6.58310871626637,6.18146550715531,6.17246367481339,NA,6.47394665579818,6.49952531722127,6.54558593268541
"1222",2027,"I3L4X7",259,"GPS2","G protein pathway suppressor 2","","","tr|I3L4X7|I3L4X7_HUMAN Isoform of Q13227, G protein pathway suppressor 2 (Fragment) OS=Homo sapiens (Human) OX=9606 GN=GPS2 PE=1 SV=2;tr|I3L3Y9|I3L3Y9_HUMAN Isoform of Q13227, G protein pathway suppressor 2 (Fragment) OS=Homo sapiens (Human) OX=9606 GN=GPS",4,15.1,"",7.43024888293117,7.46605657755656,7.24917961585775,NA,6.85002222286849,NA,7.74154512260419,7.46117088094363,7.40902865800904,NA,NA,NA,7.3869632739843,7.14738432306384,7.39390363731616,NA,NA,NA,7.0942296503263,7.23450726165317,NA,NA,NA,NA,7.13387724923403,7.0797317582783,6.89495533342044,6.94125258324634,NA,NA
"1223",2029,"I3L4G8",173,"CHMP6","","","","tr|I3L4G8|I3L4G8_HUMAN Isoform of Q96FZ7, Charged multivesicular body protein 6 (Fragment) OS=Homo sapiens (Human) OX=9606 GN=CHMP6 PE=1 SV=1;tr|I3L4A1|I3L4A1_HUMAN Isoform of Q96FZ7, Charged multivesicular body protein 6 (Fragment) OS=Homo sapiens (Human)",3,23.1,"",NA,NA,NA,6.72614366393494,NA,6.59301462356224,NA,NA,NA,6.83532598687309,6.91009869096606,6.77340009372601,NA,NA,NA,6.69576315344547,6.49177935833407,6.58575489742136,NA,6.39566431416911,NA,NA,NA,NA,6.38013298285329,NA,6.23714108882121,6.34370428313016,NA,6.47347192015915
"1224",2030,"J3KQU4",465,"TOM1L1","TOM1-like protein 1","","","tr|J3KQU4|J3KQU4_HUMAN Isoform of O75674, TOM1-like protein 1 OS=Homo sapiens (Human) OX=9606 GN=TOM1L1 PE=1 SV=1;tr|I3L4I4|I3L4I4_HUMAN Isoform of O75674, TOM1-like protein 1 OS=Homo sapiens (Human) OX=9606 GN=TOM1L1 PE=1 SV=1;sp|O75674-2|TM1L1-2_HUMAN Is",6,18.7,"",NA,NA,NA,NA,6.4346259102837,6.51603014325492,NA,NA,NA,6.39344314933219,6.3188935006756,6.4904322708021,NA,NA,NA,6.47991237003759,6.51773915166658,6.57995232483743,NA,NA,NA,6.30697004939869,6.41449834486057,NA,NA,NA,NA,6.32191154094052,NA,6.33576947167305
"1225",2031,"I3L4U4",257,"TBC1D16","TBC1 domain family member 16","","","tr|I3L4U4|I3L4U4_HUMAN Isoform of Q8TBP0, Rab-GAP TBC domain-containing protein (Fragment) OS=Homo sapiens (Human) OX=9606 GN=TBC1D16 PE=1 SV=1;tr|I3L0U9|I3L0U9_HUMAN Isoform of Q8TBP0, Rab-GAP TBC domain-containing protein (Fragment) OS=Homo sapiens (Huma",2,14.8,"",NA,NA,NA,7.19165382615402,7.00478667686525,7.05703933026704,NA,NA,NA,7.09222617823099,7.03512426893134,6.74410774525133,NA,NA,NA,NA,7.28040515816635,7.2062851052451,NA,NA,NA,7.18055047553702,7.1083989565592,7.07065608572505,NA,NA,NA,7.17352396339232,7.12925621778185,7.40872775624437
"1226",2032,"I3NI29",171,"TMEM256-PLSCR3","Phospholipid scramblase 3","","","tr|I3NI29|I3NI29_HUMAN Isoform of Q9NRY6, Phospholipid scramblase (Fragment) OS=Homo sapiens (Human) OX=9606 GN=PLSCR3 PE=1 SV=1;sp|Q9NRY6|PLS3_HUMAN Phospholipid scramblase 3 OS=Homo sapiens (Human) OX=9606 GN=PLSCR3 PE=1 SV=2;tr|I3L3X5|I3L3X5_HUMAN Isofo",3,21.1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.10515405044415,NA,NA,NA,6.46421650286748,6.18053302106904,NA,NA,NA,NA,NA,6.41091075452808,6.30156717816214,NA,NA,NA,6.09769281740049,6.37096913788655,NA
"1227",2033,"I3VM54",1145,"KDM2A","Lysine-specific demethylase 2A","","","tr|I3VM54|I3VM54_HUMAN Isoform of Q9Y2K7, Lysine-specific demethylase 2A OS=Homo sapiens (Human) OX=9606 GN=KDM2A PE=1 SV=1;sp|Q9Y2K7|KDM2A_HUMAN Lysine-specific demethylase 2A OS=Homo sapiens (Human) OX=9606 GN=KDM2A PE=1 SV=3;sp|Q9Y2K7-5|KDM2A-5_HUMAN Is",18,16.2,"",7.60887714946368,7.62738745217401,7.55021634122137,7.11142686753541,7.1123593702064,7.01772065891485,7.48225211850613,7.47264238899021,7.42553126638153,7.29183751730742,7.11339358494591,7.21650018603291,7.67011561837429,7.689434401087,7.33124009450542,7.19576343201327,7.47530313246791,7.39601079444171,7.41003503496221,7.44083356374,7.31065504066728,7.3942079595957,7.47178980316927,7.51042103191488,7.34781464623847,7.4118213648162,7.39000320676652,7.21325815482965,7.38964957022316,7.51603399404183
"1228",2035,"I6L8A6",902,"RBBP8","DNA endonuclease RBBP8","","","tr|I6L8A6|I6L8A6_HUMAN Isoform of Q99708, DNA endonuclease RBBP8 OS=Homo sapiens (Human) OX=9606 GN=RBBP8 PE=1 SV=1;sp|Q99708|CTIP_HUMAN DNA endonuclease RBBP8 OS=Homo sapiens (Human) OX=9606 GN=RBBP8 PE=1 SV=2;sp|Q99708-2|CTIP-2_HUMAN Isoform of Q99708, I",4,6.7,"",NA,NA,NA,NA,NA,NA,7.22669109249257,NA,NA,NA,NA,NA,NA,NA,7.19761210599293,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1367776738183,NA,NA,NA,NA,NA
"1229",2036,"J3KMZ7",1196,"INTS2","Integrator complex subunit 2","","","tr|J3KMZ7|J3KMZ7_HUMAN Isoform of Q9H0H0, Integrator complex subunit 2 OS=Homo sapiens (Human) OX=9606 GN=INTS2 PE=1 SV=1;sp|Q9H0H0|INT2_HUMAN Integrator complex subunit 2 OS=Homo sapiens (Human) OX=9606 GN=INTS2 PE=1 SV=2",8,7.4,"",6.58838775855278,6.68326871186334,6.60191904844013,6.5694677621131,6.70929346950649,6.75580284747213,6.49210146514017,6.41548299558074,6.58654864311223,6.62907619396576,6.56686168066696,6.55514086206473,6.33118695904877,6.42297265859387,6.41733331103705,6.42004624733338,6.53656786264468,6.59353900620239,6.23692756081114,6.24507058944196,NA,6.62679811829193,6.57259494456499,6.65220214175731,6.41157825677796,6.32770836092544,6.29807278836008,6.58019662235668,6.56593751255487,6.50631345370311
"1230",2037,"J3KMZ8",405,"DPF2","Zinc finger protein ubi-d4","","","tr|J3KMZ8|J3KMZ8_HUMAN Isoform of Q92785, Zinc finger protein ubi-d4 OS=Homo sapiens (Human) OX=9606 GN=DPF2 PE=1 SV=1;sp|Q92785|REQU_HUMAN Zinc finger protein ubi-d4 OS=Homo sapiens (Human) OX=9606 GN=DPF2 PE=1 SV=2;sp|Q92785-2|REQU-2_HUMAN Isoform of Q92",6,19,"",6.13993114951018,NA,6.12702092949786,6.29802776819502,6.68531345957569,6.5865338626833,NA,NA,NA,6.59321648553725,6.20381489778011,6.56844161308374,NA,NA,NA,6.54319560248976,6.54955828685112,6.49025336701735,5.97400040888245,NA,6.00598295402414,6.38454654525143,6.55512450670335,6.49423615987654,6.13096385854548,6.0606395000566,5.92406977779206,6.41897477585309,6.38093824924665,6.40616344150433
"1231",2038,"J3KMZ9",945,"LDLR","Low-density lipoprotein receptor","","","tr|J3KMZ9|J3KMZ9_HUMAN Isoform of P01130, Low-density lipoprotein receptor (Fragment) OS=Homo sapiens (Human) OX=9606 GN=LDLR PE=1 SV=1;sp|P01130-3|LDLR-3_HUMAN Isoform of P01130, Isoform 3 of Low-density lipoprotein receptor OS=Homo sapiens (Human) OX=960",17,23.3,"",7.39926447938989,7.37440453882805,7.32610227455833,8.0769461206285,8.1073713390474,8.10691110071976,7.20865673647136,7.1875781580603,7.22777975440755,8.08426210858113,8.12183365525226,8.10118198261382,7.38521802772559,7.34259653059236,7.26793179567871,7.60993008826148,7.67288949536894,7.66248907674259,7.59392817655264,7.65999831115274,7.64924293475623,8.05221719528064,7.99120385537036,7.9944273903977,7.83890447045074,7.8824733042427,7.86036839193754,8.09393184651365,8.10634950843807,8.12272305958583
